order_id,user_id,is_paid,max_paid_date
0,36,1,2022-10-27 00:00:00
1,97,1,2022-10-27 00:00:00
2,65,1,2022-10-27 00:00:00
3,46,1,2022-10-27 00:00:00
4,90,1,2022-10-27 00:00:00
5,1,1,2022-10-27 00:00:00
6,35,1,2022-10-27 00:00:00
7,18,1,2022-10-27 00:00:00
8,26,1,2022-10-27 00:00:00
9,95,1,2022-10-27 00:00:00
10,4,1,2022-11-30 00:00:00
11,68,1,2022-11-30 00:00:00
12,12,1,2022-11-30 00:00:00
13,33,1,2022-11-30 00:00:00
14,70,1,2022-11-30 00:00:00
15,26,1,2022-11-30 00:00:00
16,17,1,2022-11-30 00:00:00
17,65,1,2022-11-30 00:00:00
18,90,1,2022-11-30 00:00:00
19,86,1,2022-11-30 00:00:00
20,9,1,2022-12-24 00:00:00
21,61,1,2022-12-24 00:00:00
22,2,1,2022-12-24 00:00:00
23,26,1,2022-12-24 00:00:00
24,32,1,2022-12-24 00:00:00
25,31,1,2022-12-24 00:00:00
26,81,1,2022-12-24 00:00:00
27,90,1,2022-12-24 00:00:00
28,65,1,2022-12-24 00:00:00
29,4,1,2022-12-24 00:00:00
30,8,1,2023-01-29 00:00:00
31,25,1,2023-01-29 00:00:00
32,55,1,2023-01-29 00:00:00
33,91,1,2023-01-29 00:00:00
34,40,1,2023-01-29 00:00:00
35,60,1,2023-01-29 00:00:00
36,85,1,2023-01-29 00:00:00
37,16,1,2023-01-29 00:00:00
38,28,1,2023-01-29 00:00:00
39,92,1,2023-01-29 00:00:00
40,74,1,2022-10-28 00:00:00
41,89,1,2022-10-28 00:00:00
42,51,1,2022-10-28 00:00:00
43,54,1,2022-10-28 00:00:00
44,7,1,2022-10-28 00:00:00
45,73,1,2022-10-28 00:00:00
46,91,1,2022-10-28 00:00:00
47,88,1,2022-10-28 00:00:00
48,25,1,2022-10-28 00:00:00
49,37,1,2022-10-28 00:00:00
50,73,1,2022-11-27 00:00:00
51,50,1,2022-11-27 00:00:00
52,40,1,2022-11-27 00:00:00
53,3,1,2022-11-27 00:00:00
54,8,1,2022-11-27 00:00:00
55,79,1,2022-11-27 00:00:00
56,30,1,2022-11-27 00:00:00
57,72,1,2022-11-27 00:00:00
58,35,1,2022-11-27 00:00:00
59,57,1,2022-11-27 00:00:00
60,50,1,2023-01-02 00:00:00
61,31,1,2023-01-02 00:00:00
62,9,1,2023-01-02 00:00:00
63,48,1,2023-01-02 00:00:00
64,44,1,2023-01-02 00:00:00
65,42,1,2023-01-02 00:00:00
66,30,1,2023-01-02 00:00:00
67,18,1,2023-01-02 00:00:00
68,45,1,2023-01-02 00:00:00
69,28,1,2023-01-02 00:00:00
70,7,1,2023-02-06 00:00:00
71,27,1,2023-02-06 00:00:00
72,90,1,2023-02-06 00:00:00
73,71,1,2023-02-06 00:00:00
74,83,1,2023-02-06 00:00:00
75,30,1,2023-02-06 00:00:00
76,37,1,2023-02-06 00:00:00
77,50,1,2023-02-06 00:00:00
78,12,1,2023-02-06 00:00:00
79,97,1,2023-02-06 00:00:00
