user_id,course_id,meeting_id,was_present
18,1,1,1
54,1,1,1
56,1,1,0
92,1,1,1
60,1,1,1
65,1,1,1
50,1,1,0
32,1,1,1
11,1,1,1
28,1,1,1
18,1,2,1
54,1,2,0
56,1,2,1
92,1,2,1
60,1,2,1
65,1,2,1
50,1,2,0
32,1,2,1
11,1,2,1
28,1,2,1
18,1,3,1
54,1,3,1
56,1,3,1
92,1,3,1
60,1,3,1
65,1,3,1
50,1,3,1
32,1,3,1
11,1,3,0
28,1,3,1
18,1,4,1
54,1,4,1
56,1,4,0
92,1,4,1
60,1,4,1
65,1,4,1
50,1,4,1
32,1,4,1
11,1,4,1
28,1,4,1
18,1,5,1
54,1,5,1
56,1,5,1
92,1,5,1
60,1,5,1
65,1,5,1
50,1,5,1
32,1,5,1
11,1,5,1
28,1,5,1
18,1,6,1
54,1,6,1
56,1,6,1
92,1,6,1
60,1,6,1
65,1,6,1
50,1,6,1
32,1,6,1
11,1,6,1
28,1,6,1
18,1,7,1
54,1,7,1
56,1,7,1
92,1,7,1
60,1,7,1
65,1,7,1
50,1,7,1
32,1,7,1
11,1,7,1
28,1,7,1
18,1,8,0
54,1,8,1
56,1,8,1
92,1,8,1
60,1,8,1
65,1,8,1
50,1,8,1
32,1,8,0
11,1,8,1
28,1,8,1
18,1,9,1
54,1,9,1
56,1,9,1
92,1,9,0
60,1,9,1
65,1,9,1
50,1,9,1
32,1,9,1
11,1,9,1
28,1,9,1
18,1,10,1
54,1,10,0
56,1,10,0
92,1,10,1
60,1,10,1
65,1,10,1
50,1,10,1
32,1,10,1
11,1,10,1
28,1,10,0
18,1,11,1
54,1,11,1
56,1,11,1
92,1,11,1
60,1,11,1
65,1,11,1
50,1,11,1
32,1,11,1
11,1,11,1
28,1,11,1
18,1,12,1
54,1,12,1
56,1,12,1
92,1,12,1
60,1,12,0
65,1,12,1
50,1,12,1
32,1,12,1
11,1,12,1
28,1,12,0
18,1,13,1
54,1,13,1
56,1,13,1
92,1,13,0
60,1,13,1
65,1,13,1
50,1,13,1
32,1,13,1
11,1,13,1
28,1,13,0
18,1,14,1
54,1,14,1
56,1,14,1
92,1,14,1
60,1,14,1
65,1,14,1
50,1,14,1
32,1,14,1
11,1,14,0
28,1,14,1
67,2,15,1
76,2,15,1
51,2,15,1
99,2,15,0
47,2,15,1
84,2,15,1
70,2,15,1
2,2,15,1
41,2,15,1
4,2,15,1
67,2,16,1
76,2,16,1
51,2,16,1
99,2,16,1
47,2,16,1
84,2,16,1
70,2,16,0
2,2,16,1
41,2,16,1
4,2,16,0
67,2,17,1
76,2,17,1
51,2,17,0
99,2,17,0
47,2,17,1
84,2,17,1
70,2,17,1
2,2,17,1
41,2,17,1
4,2,17,1
67,2,18,0
76,2,18,1
51,2,18,1
99,2,18,1
47,2,18,1
84,2,18,1
70,2,18,1
2,2,18,1
41,2,18,1
4,2,18,1
67,2,19,1
76,2,19,1
51,2,19,1
99,2,19,1
47,2,19,1
84,2,19,1
70,2,19,1
2,2,19,1
41,2,19,1
4,2,19,1
67,2,20,1
76,2,20,1
51,2,20,0
99,2,20,1
47,2,20,0
84,2,20,1
70,2,20,1
2,2,20,1
41,2,20,1
4,2,20,1
67,2,21,1
76,2,21,0
51,2,21,1
99,2,21,1
47,2,21,1
84,2,21,1
70,2,21,1
2,2,21,0
41,2,21,1
4,2,21,1
67,2,22,1
76,2,22,1
51,2,22,1
99,2,22,1
47,2,22,1
84,2,22,1
70,2,22,1
2,2,22,1
41,2,22,1
4,2,22,0
67,2,23,1
76,2,23,1
51,2,23,1
99,2,23,1
47,2,23,1
84,2,23,1
70,2,23,1
2,2,23,1
41,2,23,1
4,2,23,1
67,2,24,1
76,2,24,1
51,2,24,1
99,2,24,1
47,2,24,1
84,2,24,1
70,2,24,1
2,2,24,1
41,2,24,1
4,2,24,1
67,2,25,1
76,2,25,1
51,2,25,1
99,2,25,1
47,2,25,1
84,2,25,1
70,2,25,1
2,2,25,1
41,2,25,1
4,2,25,1
67,2,26,1
76,2,26,1
51,2,26,1
99,2,26,1
47,2,26,1
84,2,26,1
70,2,26,1
2,2,26,1
41,2,26,1
4,2,26,1
67,2,27,1
76,2,27,1
51,2,27,1
99,2,27,1
47,2,27,1
84,2,27,1
70,2,27,0
2,2,27,1
41,2,27,1
4,2,27,1
67,2,28,1
76,2,28,0
51,2,28,1
99,2,28,1
47,2,28,1
84,2,28,1
70,2,28,1
2,2,28,0
41,2,28,1
4,2,28,1
67,2,29,0
76,2,29,1
51,2,29,1
99,2,29,1
47,2,29,1
84,2,29,1
70,2,29,1
2,2,29,1
41,2,29,1
4,2,29,1
67,2,30,1
76,2,30,1
51,2,30,1
99,2,30,1
47,2,30,1
84,2,30,0
70,2,30,1
2,2,30,1
41,2,30,1
4,2,30,1
67,2,31,1
76,2,31,1
51,2,31,0
99,2,31,1
47,2,31,1
84,2,31,1
70,2,31,1
2,2,31,1
41,2,31,1
4,2,31,1
67,2,32,1
76,2,32,1
51,2,32,1
99,2,32,1
47,2,32,1
84,2,32,1
70,2,32,1
2,2,32,1
41,2,32,1
4,2,32,1
67,2,33,1
76,2,33,1
51,2,33,1
99,2,33,1
47,2,33,1
84,2,33,1
70,2,33,1
2,2,33,0
41,2,33,1
4,2,33,1
55,3,34,1
23,3,34,1
32,3,34,1
94,3,34,1
74,3,34,0
50,3,34,1
3,3,34,1
52,3,34,1
33,3,34,1
41,3,34,1
55,3,35,1
23,3,35,1
32,3,35,1
94,3,35,1
74,3,35,1
50,3,35,1
3,3,35,0
52,3,35,1
33,3,35,1
41,3,35,1
55,3,36,1
23,3,36,1
32,3,36,0
94,3,36,1
74,3,36,1
50,3,36,1
3,3,36,1
52,3,36,1
33,3,36,1
41,3,36,1
55,3,37,0
23,3,37,1
32,3,37,1
94,3,37,1
74,3,37,1
50,3,37,1
3,3,37,1
52,3,37,0
33,3,37,1
41,3,37,1
55,3,38,1
23,3,38,1
32,3,38,1
94,3,38,1
74,3,38,1
50,3,38,1
3,3,38,1
52,3,38,1
33,3,38,1
41,3,38,1
55,3,39,1
23,3,39,0
32,3,39,0
94,3,39,1
74,3,39,1
50,3,39,1
3,3,39,1
52,3,39,1
33,3,39,0
41,3,39,1
55,3,40,1
23,3,40,1
32,3,40,1
94,3,40,0
74,3,40,1
50,3,40,0
3,3,40,1
52,3,40,1
33,3,40,1
41,3,40,1
55,3,41,1
23,3,41,1
32,3,41,1
94,3,41,1
74,3,41,1
50,3,41,1
3,3,41,1
52,3,41,0
33,3,41,1
41,3,41,1
55,3,42,1
23,3,42,1
32,3,42,1
94,3,42,1
74,3,42,1
50,3,42,0
3,3,42,1
52,3,42,1
33,3,42,0
41,3,42,1
9,4,43,1
20,4,43,1
89,4,43,1
13,4,43,0
41,4,43,1
7,4,43,1
87,4,43,1
65,4,43,1
73,4,43,1
81,4,43,1
9,4,44,0
20,4,44,1
89,4,44,1
13,4,44,1
41,4,44,1
7,4,44,1
87,4,44,1
65,4,44,1
73,4,44,1
81,4,44,1
9,4,45,1
20,4,45,1
89,4,45,1
13,4,45,1
41,4,45,1
7,4,45,1
87,4,45,1
65,4,45,1
73,4,45,1
81,4,45,1
9,4,46,1
20,4,46,1
89,4,46,1
13,4,46,1
41,4,46,1
7,4,46,0
87,4,46,1
65,4,46,1
73,4,46,1
81,4,46,1
9,4,47,1
20,4,47,1
89,4,47,1
13,4,47,1
41,4,47,1
7,4,47,1
87,4,47,1
65,4,47,1
73,4,47,1
81,4,47,1
9,4,48,1
20,4,48,1
89,4,48,0
13,4,48,1
41,4,48,1
7,4,48,1
87,4,48,1
65,4,48,1
73,4,48,1
81,4,48,0
9,4,49,1
20,4,49,1
89,4,49,1
13,4,49,1
41,4,49,1
7,4,49,1
87,4,49,1
65,4,49,1
73,4,49,1
81,4,49,1
9,4,50,1
20,4,50,1
89,4,50,1
13,4,50,1
41,4,50,1
7,4,50,1
87,4,50,1
65,4,50,1
73,4,50,1
81,4,50,1
9,4,51,1
20,4,51,1
89,4,51,1
13,4,51,0
41,4,51,1
7,4,51,1
87,4,51,1
65,4,51,1
73,4,51,1
81,4,51,1
9,4,52,1
20,4,52,1
89,4,52,1
13,4,52,1
41,4,52,1
7,4,52,1
87,4,52,1
65,4,52,1
73,4,52,1
81,4,52,1
9,4,53,1
20,4,53,1
89,4,53,1
13,4,53,1
41,4,53,1
7,4,53,1
87,4,53,1
65,4,53,1
73,4,53,1
81,4,53,1
9,4,54,1
20,4,54,1
89,4,54,1
13,4,54,0
41,4,54,1
7,4,54,1
87,4,54,1
65,4,54,1
73,4,54,1
81,4,54,1
9,4,55,1
20,4,55,1
89,4,55,1
13,4,55,1
41,4,55,1
7,4,55,1
87,4,55,1
65,4,55,0
73,4,55,1
81,4,55,1
9,4,56,1
20,4,56,1
89,4,56,1
13,4,56,1
41,4,56,1
7,4,56,1
87,4,56,1
65,4,56,0
73,4,56,1
81,4,56,1
9,4,57,1
20,4,57,1
89,4,57,1
13,4,57,1
41,4,57,1
7,4,57,1
87,4,57,1
65,4,57,1
73,4,57,1
81,4,57,1
9,4,58,1
20,4,58,1
89,4,58,1
13,4,58,1
41,4,58,1
7,4,58,1
87,4,58,1
65,4,58,1
73,4,58,1
81,4,58,1
9,4,59,1
20,4,59,1
89,4,59,0
13,4,59,1
41,4,59,1
7,4,59,1
87,4,59,1
65,4,59,0
73,4,59,1
81,4,59,1
9,4,60,1
20,4,60,1
89,4,60,1
13,4,60,1
41,4,60,1
7,4,60,1
87,4,60,1
65,4,60,1
73,4,60,1
81,4,60,1
9,4,61,1
20,4,61,1
89,4,61,1
13,4,61,1
41,4,61,1
7,4,61,1
87,4,61,1
65,4,61,1
73,4,61,0
81,4,61,1
9,4,62,1
20,4,62,1
89,4,62,1
13,4,62,1
41,4,62,1
7,4,62,1
87,4,62,1
65,4,62,1
73,4,62,1
81,4,62,1
9,4,63,1
20,4,63,1
89,4,63,1
13,4,63,1
41,4,63,1
7,4,63,1
87,4,63,0
65,4,63,0
73,4,63,0
81,4,63,1
9,4,64,1
20,4,64,1
89,4,64,1
13,4,64,1
41,4,64,1
7,4,64,1
87,4,64,1
65,4,64,1
73,4,64,1
81,4,64,0
9,4,65,1
20,4,65,1
89,4,65,1
13,4,65,1
41,4,65,1
7,4,65,1
87,4,65,1
65,4,65,1
73,4,65,1
81,4,65,1
9,4,66,1
20,4,66,0
89,4,66,1
13,4,66,1
41,4,66,1
7,4,66,1
87,4,66,1
65,4,66,1
73,4,66,1
81,4,66,1
9,4,67,1
20,4,67,1
89,4,67,1
13,4,67,1
41,4,67,1
7,4,67,1
87,4,67,1
65,4,67,1
73,4,67,1
81,4,67,0
9,4,68,1
20,4,68,1
89,4,68,1
13,4,68,1
41,4,68,1
7,4,68,1
87,4,68,1
65,4,68,1
73,4,68,1
81,4,68,1
