course_id,meeting_id,meeting_date,language_id,translator_id,lecturer_id,duration,place_limit,module_id,meeting_type_id,meeting_name
1,0,2022-10-19,0,,7,00:00:00,10,1,1,Introduction to Cybersecurity Frameworks
1,1,2022-10-21,2,2,6,00:00:00,10,1,1,NIST Cybersecurity Framework Overview
1,2,2022-10-23,1,4,1,00:00:00,10,1,1,ISO 27001 Standards
1,3,2022-10-26,0,,2,00:00:00,10,1,1,Establishing Policies and Procedures
1,4,2022-10-27,2,3,3,00:00:00,10,1,1,Identifying Critical Assets
1,5,2022-10-28,1,1,14,00:00:00,10,1,1,Setting Access Controls
1,6,2022-10-29,1,3,7,00:00:00,10,2,1,Securing Cloud Networks
1,7,2022-10-30,2,2,0,00:00:00,10,2,1,Network Encryption Basics
1,8,2022-10-31,0,,9,00:00:00,10,2,1,Identifying Network Vulnerabilities
1,9,2022-11-01,1,0,3,00:00:00,10,2,1,Case Studies in Network Security
1,10,2022-11-02,1,3,3,00:00:00,10,3,2,Overview of Application Security
1,11,2022-11-03,0,,2,00:00:00,10,3,3,Common Application Vulnerabilities
1,12,2022-11-05,1,1,1,00:00:00,10,3,3,Importance of Secure Coding Practices
1,13,2022-11-08,0,,1,00:00:00,10,3,3,Database Security Fundamentals
1,14,2022-11-11,2,0,4,00:00:00,10,3,2,Data Encryption and Cryptography
1,15,2022-11-12,2,2,8,00:00:00,10,3,3,Protecting Sensitive Business Data
1,16,2022-11-16,0,,14,00:00:00,10,3,3,Securing APIs and Integrations
1,17,2022-11-18,2,3,1,00:00:00,10,3,3,Third-Party Application Risks
1,18,2022-11-19,1,2,6,00:00:00,10,3,3,Conducting Security Testing
1,19,2022-11-21,0,,2,00:00:00,10,3,1,Strategies for Data Recovery
1,20,2022-11-22,0,,7,00:00:00,10,4,2,The Role of Employees in Cybersecurity
2,21,2022-11-20,1,3,3,00:00:00,10,5,1,Training Teams in Data Literacy
2,22,2022-11-22,1,0,8,00:00:00,10,5,1,Encouraging Collaboration Around Data
2,23,2022-11-23,0,,1,00:00:00,10,6,4,Data Collection Methods
2,24,2022-11-25,0,,8,00:00:00,10,6,4,Basics of Data Cleaning
2,25,2022-11-27,2,3,11,00:00:00,10,6,4,Understanding Data Formats
2,26,2022-11-28,0,,14,00:00:00,10,6,4,Overview of Analytical Tools
2,27,2022-11-30,1,0,6,00:00:00,10,6,4,Limitations and Biases in Data
2,28,2022-12-03,0,,8,00:00:00,10,6,4,Ethical Considerations in Data Handling
2,29,2022-12-05,0,,7,00:00:00,10,6,4,Trends in Data Analytics
3,30,2023-01-15,1,0,11,00:00:00,10,7,2,Identifying Business Needs for the Cloud
3,31,2023-01-19,1,4,6,00:00:00,10,7,2,Assessing Readiness for Cloud Adoption
3,32,2023-01-20,0,,14,00:00:00,10,7,2,Setting Goals for Cloud Implementation
3,33,2023-01-21,2,3,1,00:00:00,10,7,2,Choosing the Right Cloud Model
3,34,2023-01-22,1,2,1,00:00:00,10,7,2,Budgeting for Cloud Projects
3,35,2023-01-24,0,,6,00:00:00,10,7,2,Risk Management in Cloud Transition
3,36,2023-01-26,0,,0,00:00:00,10,7,2,Building a Migration Roadmap
3,37,2023-01-27,1,4,8,00:00:00,10,8,1,Incident Response in Cloud Computing
3,38,2023-01-28,2,3,7,00:00:00,10,8,1,Building a Resilient Security Framework
3,39,2023-01-30,2,0,7,00:00:00,10,8,1,Governance for Long-Term Cloud Success
3,40,2023-02-02,2,0,4,00:00:00,10,8,1,Importance of Cloud Security
3,41,2023-02-04,0,,9,00:00:00,10,8,1,Common Cloud Security Threats
3,42,2023-02-05,0,,12,00:00:00,10,8,1,Data Encryption in the Cloud
3,43,2023-02-07,2,1,13,00:00:00,10,8,1,Identity and Access Management (IAM)
3,44,2023-02-08,0,,8,00:00:00,10,8,1,Ensuring Compliance with Regulations
3,45,2023-02-10,1,1,13,00:00:00,10,8,1,Security Best Practices for Cloud Usage
3,46,2023-02-11,1,0,7,00:00:00,10,8,1,Monitoring and Auditing Cloud Environments
4,47,2023-03-11,0,,0,00:00:00,10,9,4,Managing Crisis Situations
4,48,2023-03-12,0,,8,00:00:00,10,9,4,Lessons Learned from Real-Life Failures
4,49,2023-03-15,0,,2,00:00:00,10,10,2,Case Studies of High-Performing Teams
4,50,2023-03-19,2,0,9,00:00:00,10,11,1,Understanding Project Value
4,51,2023-03-20,2,2,11,00:00:00,10,11,1,Aligning Projects with Business Goals
4,52,2023-03-23,2,2,14,00:00:00,10,11,1,Value-Driven Decision Making
4,53,2023-03-24,0,,11,00:00:00,10,11,1,Stakeholder Expectations Management
4,54,2023-03-26,1,3,11,00:00:00,10,11,1,Measuring Project Success
4,55,2023-03-30,0,,3,00:00:00,10,11,1,Continuous Improvement in Projects
4,56,2023-03-31,0,,9,00:00:00,10,11,1,Delivering Projects On-Time and On-Budget
4,57,2023-04-03,1,3,6,00:00:00,10,11,1,Innovation in Project Delivery
4,58,2023-04-06,0,,9,00:00:00,10,12,1,Risk Identification and Mitigation
4,59,2023-04-09,0,,7,00:00:00,10,12,1,Closing Projects Effectively
4,60,2023-04-11,0,,14,00:00:00,10,12,2,Introduction to Project Management
